pre,post,broken,br,local,immediate,reason,status
"\Delta_{1,3}\mid \Phi_{3,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Delta_{1,3}\mid \Pi_{5,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Psi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Delta_{1,3}\mid \Psi_{3,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Delta_{1,3}\mid \Psi_{5,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Psi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Delta_{1,3}\mid \Xi_{5,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Psi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Gamma_{3,5}\mid \Delta_{3,3}",\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Theta_{4,5} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Gamma_{3,5}\mid \Gamma_{5,3}",\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr),"\bigl(\Theta_{4,5} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Pi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Gamma_{3,5}\mid \Lambda_{3,3}",\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Theta_{4,5} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Gamma_{3,5}\mid \Pi_{3,3}",\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Theta_{4,5} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Gamma_{3,5}\mid \Sigma_{3,3}",\bigl(\Theta_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Lambda_{0}\bigr),"\bigl(\Theta_{4,5} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Lambda_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
